#,Name,Address,Atoll,Island,District,Rooms,Beds
174,Dhiguveli,Raalhufah / Kethi,Alifu Dhaalu,Dhigurah,,19,38
175,Dhiguveli Breeze,White Coral,Alifu Dhaalu,Dhigurah,,,
176,Dhimyaath Stay,M. Dhimyaath,Kaafu,Male',Maafannu,55,110
177,Dhivehi Experience,Ocean Weev,Alifu Dhaalu,Dhigurah,,3,6
178,Dhoadhi Retreat,"Ayota, Randhaa Magu",Kaafu,Thulusdhoo,,7,14
179,Dhoani Maldives Guesthouse,"Fehiali, Maarana Magu",Baa,Kendhoo,,6,12
180,Dhondhooni Lounge,Hulhumale' Lot. No. 10507,Kaafu,Male',Hulhumale',4,8
181,Dhonfulhafi Beach View and Spa,"Roshan Beach , Gahaa",Baa,Maalhos,,10,20
182,Dhonfulhafi Retreat,Fair view,Baa,Maalhos,,4,8
183,Dhonkamana Beach Villa,"Aahama, Bodufungandu Magu",Baa,Thulhaadhoo,,7,14
184,Dhonkamana Stay,Sosunge,Alifu Alifu,Thoddoo,,6,12
185,Dhonveli Inn,"Annaarumaage, Dh. Bandidhoo",,,,7,14
186,Dhooni Finolhu Guesthouse,"Vasmeeru Fiya, Huravee Magu",Baa,Maalhos,,5,10
187,Dravida Maldives,"Shady Corner
Abuharee Magu",Alifu Dhaalu,Maamigili,,5,10
188,Dream Coral,BlueKiyaage,Alifu Alifu,Thoddoo,,6,12
189,Dream Inn @ Thulusdhoo,Sueyz,Kaafu,Thulusdhoo,,5,10
190,Dream Relax,Hulhumale' Lot. No. 10460,Kaafu,Male',Hulhumale',6,12
191,Dream Relax Inn,Hulhumale' Lot. No. 10812,Kaafu,Male',Hulhumale',12,24
192,Dream Sunset Beach and Spa,"Hulhumale' Lot no. 10976  No. 17, Nirolhu Magu",Kaafu,Male',Hulhumale',20,40
193,Dreams Grand,Hulhumale' Lot. No. 10467,Kaafu,Male',Hulhumale',11,22
194,Due Palm Guest House,Babulhaage,Vaavu,Keyodhoo,,8,4
195,Eden Blue,Blue Waves,Kaafu,Thulusdhoo,,4,8
196,Ekefaru Inn,Billion,Gaafu Alifu,Villingili,,6,12
197,Eleven Trees,Hulhumale' Lot. No. 11038,Kaafu,Male',Hulhumale',15,30
198,Elite Beach Inn,Hulhumale' Lot. No. 10503,Kaafu,Male',Hulhumale’,10,20
199,EM Beach Maldives,Seesange (South ward),Kaafu,Himmafushi,,6,12
200,Endhaa Divers Home,Endhaa,Gnaviyani,Fuvahmulah,,4,8
201,Endheri Residence,"Shelistial, Vidhuvaru Goalhi",Kaafu,Guraidhoo,,3,6
202,Endheri Sunset,Endheri Lodge,Alifu Dhaalu,Dhangethi,,10,20
203,Entre Azules,"Love Nest, Haveeree Higun",Kaafu,Maafushi,,14,28
204,EQ Inn,Star Lodge,Meemu,Muli,,4,8
205,Equator Holiday Inn,Island Villa,Gnaviyani,Fuvahmulah,,4,8
206,Equator Homestay,Hirihamaathige,Seenu,Hulhudhoo,,6,12
207,Equator Villa,"Naares
1, Halaveli Magu
Maafushi, Kaafu Atoll
Republic of Maldives",Kaafu,Maafushi,,6,12
208,Equatorial Diver's Lodge,Thilinfaru,Seenu,Feydhoo,,11,22
209,Escapism Maldives,"Asareege
Shaheed Ali Hingun",Alifu Alifu,Feridhoo,,6,12
210,Ethereal Inn,Nooraanee Villa,Kaafu,Maafushi,,6,12
211,Everest Lodge,"Everest, Mohamed Thakurufaanu Magu",Seenu,Meedhoo,,4,8
212,Eveylaa Guesthouse,Hahethi,Vaavu,Fulidhoo,,4,8
213,Evila inn Thoddoo,Haavilla,Alifu Alifu,Thoddoo,,6,12
214,Explore Island Inn,Edhuruge,Lhaviyani,Kurendhoo,,3,6
215,Express Inn,"Hulhumale', 10787",Kaafu,Male',Hulhumale',15,30
216,Eyot Wave,Aairu,Kaafu,Himmafushi,,4,8
217,Ezmeralda Maldives,"Hulhumale' Plot No. 10590, Hithigas Magu",Kaafu,Male',Hulhumale’,10,20
218,Faima Fishing Lodge,"Neeloafaruge, Dheyliyaa Magu",Baa,Dharavandhoo,,6,12
219,Fairytale Inn,"1. Aathari, 2. Yellow Leaf, 3. Shooting Star, Ameenee Magu",Alifu Alifu,Thoddoo,,9,18
220,Fanhaa Guesthouse,Flower Garden,Haa Dhaalu,Hanimaadhoo,,6,12
221,Fari Lodge,Maafarivaage Banafsa Goalhi,Kaafu,Kaashidhoo,,3,6
222,Fatims Beach House,1.Ocean Blue 2.Janavareehiyaa 3.Janavareege,Kaafu,Maafushi,,9,18
223,Fazaa View Inn,"Fazaa, Kasthoori Magu",,,,5,10
224,Fehendhoo Stay,"Paris, Haveeree Hingun",Baa,Fehendhoo,,5,10
225,Feridhoo Beach Villa,"Bahaaruge, Haveeree Hingun",Alifu Alifu,Feridhoo,,12,24
226,Feridhoo Inn,Reena Manzil,Alifu Alifu,Feridhoo,,5,10
227,Finimas Residence,"Sheen,    Thimarafushi,  Thaa Atoll",,,,6,12
228,Finolhu Beach Guesthouse,Handhufalhi,Vaavu,Felidhoo,,5,10
229,Finolhu Dhigurah,Ocean Wave,Alifu Dhaalu,Dhigurah,,5,10
230,Fins Dive and Leisure Inn,Karishmaa,Alifu Alifu,Rasdhoo,,5,10
231,Fisherman's House,Finivaage,Gaafu Alifu,Maamendhoo,,3,6
232,Five Coral Inn,Fashan,Baa,Kamadhoo,,9,18
233,Five Ens Lodge,Five Ens,Vaavu,Keyodhoo,,3,6
234,Five Rose Guest House,Five Rose,Lhaviyani,Kurendhoo,,3,6
235,Fiyala Homestay,Wind House,Seenu,Feydhoo,,5,10
236,FSS Residence,Viligileege,Gaafu Dhaalu,Hoadehdhoo,,5,10
237,Fulhadhoo Inn,Silver Beach,Baa,Fulhadhoo,,4,8
238,Fulidhoo Ihaa Lodge,Ranfas,Vaavu,Fulidhoo,,3,6
239,Fulidhoo La perla Guest House,Lapella,Vaavu,Fulidhoo,,3,6
240,Fulidhoo White Inn,Ithaa,Vaavu,Fulidhoo,,6,12
241,Fushi Stay,Vafaa,Baa,Hithaadhoo,,5,10
242,Fuvahmulah Inn,Amico,Gnaviyani,Fuvahmulah,,5,10
243,Gaafaru Burulu Inn,Nookokaage,Kaafu,Gaafaru,,5,10
244,Gaafaru View Inn Maldives,"Silver House 12, Husnuheena Magu",Kaafu,Gaafaru,,7,14
245,Galaxy Sunrise,Galaxy,Vaavu,Fulidhoo,,5,10
246,Gaskara Guesthouse,"Gaskara, Gaskara Goalhi",Shaviyani,Maroshi,,4,8
247,Globus Cottage Inn,Hiya Vahi,Baa,Hithaadhoo,,10,20
248,Goby Lodge,"Oyster, Latheefee Hingun",Alifu Dhaalu,Mahibadhoo,,4,8
249,Golden Sails Guesthouse,"G. Uthuru, Majeedhee Magu",Kaafu,Male',Galolhu,21,42
250,Golhaa View Inn-By Tes,Cornbe Beach,Kaafu,Thulusdhoo,,10,20
251,Grace Beach Inn,Hulhumale' Lot. No.10103,Kaafu,Male',Hulhumale',7,14
252,Green Flora,Shima,Kaafu,Male',Villimale',17,34
253,Green Inn,Green Heaven,Dhaalu,Maaenboodhoo,,6,12
254,Green Leaf Omadhoo,Gahaa,Alifu Dhaalu,Omadhoo,,6,12
255,Gunbaru Inn,Asseyri,Alifu Alifu,Ukulhas,,11,22
256,Guraidhoo Palm Inn,Nisha Manzil,Kaafu,Guraidhoo,,15,30
257,Gurus Maldives,Beach Coral,Kaafu,Gulhi,,4,8
258,H78,Hulhumale' Lot. No. 11049,Kaafu,Male',Hulhumale',15,30
259,Hanifaru Transit Inn,Arumaan,Baa,Dharavandhoo,,4,8
260,Happy Feet Inn,Dhefaiykoalhi,Kaafu,Kaashidhoo,,5,10
261,Hathaa Beach Maldives,Hulhumale' Lot. No. 10711,Kaafu,Male',Hulhumale',7,14
262,Haveyli Grande,"Haveyli, Sosun Magu",Alifu Alifu,Feridhoo,,3,6
263,Heavenly Residence,Haveyli,Alifu Alifu,Thoddoo,,5,10
264,Hedheykuri Residence,"Dhoodigan, Hedheykuri, Bodufannu Magu",Gnaviyani,Fuvahmulah,,3,6
265,Hello Ocean View,"Block 114 Commercial Land, Funadhoo, Shaviyani Atoll, Republic of Maldives",,,Funadhoo,4,8
266,Heron Beach Dhiffushi,"Hudhuveli, Saleemee Hingun",Kaafu,Dhiffushi,,14,28
267,Hevana,"Iruvai, Flower House & Midnight",Vaavu,Keyodhoo,,10,20
268,Himeyn Beach Inn Maldives,"1. Boalhage, 2. Minivan Asseyri, Sosun Magu, Uthuru Avah",Haa Dhaalu,Hanimaadhoo,,4,8
269,Himeyn Beach Retreat,Silver Star Daisy Magu,Haa Dhaalu,Hanimaadhoo,,3,6
270,Himmafushi Inn,"Hedheykuri, Bodu Kashi Magu",Kaafu,Himmafushi,,4,8
271,Himmafushi Surfing Home,Blowing Roashan,Kaafu,Himmafushi,,3,6
272,Hireath Island Home,"Quick Silver, Roashanee Magu",Kaafu,Guraidhoo,,5,10
273,Hitha Maldives,"Vaadhee, Ameenee Magu",Alifu Dhaalu,Omadhoo,,4,8
274,Hiyalee Inn,"Reef Side, Ameenee Magu",Alifu Dhaalu,Maamigili,,5,10
275,Hoandeddhoo Inn,Uthuruge,Gaafu Dhaalu,Hoandehdhoo,,3,6
276,Holiday Cottage,Asurumaahiya,Alifu Alifu,Thoddoo,,8,16
277,Holiday Garden Rasdhoo,"Asareege, Saharaa Magu",Alifu Alifu,Rasdhoo,,6,12
278,Holiday Grand Thoddoo,Nooru,Alifu Alifu,Thoddoo,,4,8
279,Holiday Haven Ukulhas,"	Akkaleena, Miskiyy Magu",Alifu Alifu,Ukulhas,,4,8
280,Holiday Home Fuvahmulah,"Funaadu, Dhoogas, Dhonmahumoodhu Hingun",Gnaviyani,Fuvahmulah,Funaadu,3,6
281,Holiday Home Kelaa,"Guraha
Dhiyares",Haa Alifu,Kelaa,,10,20
282,Holiday Home Rasdhoo,Lily Shadow,Alifu Alifu,Rasdhoo,,5,10
283,Holiday Mathiveri Inn,Hiyfaseyfa Vaadhee,Alifu Alifu,Mathiveri,,8,16
284,Holiday Nest,Ournest,Baa,Kendhoo,,3,6
285,Holiday Village Retreat,Vaadhee,Alifu Alifu,Bodufolhudhoo,,4,8
286,Holikan Baech,Maathila,Kaafu,Maafushi,,27,54
287,Honors Residence,"Plot No's: C-441
C-443
C-444
C-445
C-451
C-453
C-454",Laamu,Gan,,28,56
288,Horsburgh Island Guest House,"Fange, Goidhoo, Baa Atoll, Republic of Maldives",Baa,Goidhoo,,5,10
289,House Clover,Ma. Anaarukalee,Kaafu,Male',Machchangolhi,17,34
290,House Clover Hana,Hulhumale' Lot. No. 10794,Kaafu,Male',Hulhumale',11,22
291,Hudhu Velaa,Yaadhu,Baa,Dhonfanu,,4,8
292,Hudhufas Villa,"Hudhufas, Shaheed Ali Hingun",Alifu Alifu,Thoddoo,,4,8
293,Hudhuveli kamadhoo,Hudhuveli,Baa,Kamadhoo,,4,8
294,Hudhuveli Maldives,"Moonimaage, Ameenee Magu",Alifu Dhaalu,Omadhoo,,6,12
295,Hulha'ngu Lodge,Hulh'nguge,Kaafu,Himmafushi,,6,12
296,Hulhu Villa Beach,"Hulhumale', Lot No. 10092",Kaafu,Male',,12,24
297,Huraa East Inn,Endheri,Kaafu,Huraa,,3,6
298,Huvan Beach,Hulhumale' Lot. No. 10710,Kaafu,Male',Hulhumale',22,44
299,Huvan Inn,Happy Garden,Vaavu,Fulidhoo,,5,10
300,iCom Marina Sea View,"Dhilkash, Rahvashaa Hingun",Kaafu,Maafushi,,36,72
301,Ihaven Thulusdhoo,Hivvaru,Kaafu,Thulusdhoo,,8,16
302,Ikhfa Guesthouse,Ikhfa,Noonu,Velidhoo,,8,4
303,Ila Grand,"Hulhumale' Lot No. 11118, Nirolhumagu",Kaafu,Male',Hulhumale',12,24
304,Ilaa Beach Maldives,Dhoores,Kaafu,Gulhi,,13,26
305,Infinity Dhiffushi,"Nazufaru, Aakuri Magu",Kaafu,Dhiffushi,,7,14
306,Inguraidhoo Beach Inn,"Blue Heaven,  Hihfaseyha Magu",Raa,Inguraidhoo,,5,10
307,Into the Blue Lodge,Blue Sky,Vaavu,Keyodhoo,,8,16
308,Iris Beach Residence,Iris,Kaafu,Guraidhoo,,11,22
309,Iru Guest House,"Noomaage, Ameer Ameen Magu",Kaafu,Thulusdhoo,,5,10
310,Isla Dhiffushi,Noovil,Kaafu,Dhiffushi,,7,14
311,Island Ambience,"Four Season, Iruvai Magu",Kaafu,Maafushi,,7,14
312,Island Break,Javaahiru,Vaavu,Fulidhoo,,7,14
313,Island Grand Maldives,fullmoon,Alifu Dhaalu,Hangnaameedhoo,,5,10
314,Island Guest,"Macury, Basheeree Hingun, Maamendhoo, Gaafu Alifu Atoll, Republic of Maldives",Gaafu Alifu,Maamendhoo,,4,8
315,Island Holiday Lodge,Luboamaage,Vaavu,Keyodhoo,,3,6
316,Island Home Inn,Uranus,Alifu Alifu,Ukulhas,,8,16
317,Island Host,Vienna,Noonu,Velidhoo,,3,6
318,Island Luxury Dive,"Blue Star, Rahvehi Hingun",Baa,Fulhadhoo,,8,16
319,Island Luxury Fulhadhoo,Ocean Front,Baa,Fulhadhoo,,8,16
320,Island Pavilion Adh. Hangnaameedhoo,"Pavilion, Nikagas Magu",Alifu Dhaalu,Hangnaameedhoo,,6,12
321,Island Scuba Inn,Okayge,Alifu Dhaalu,Dhangethi,,7,14
322,Island Zephyr,Shine,Baa,Goidhoo,,10,20
323,Islandlifemaldives Retreat & Spa,"1.	Vidhuvaru  2.	Aavehi  3.	Vaadhee 4.	Tikana Magoodhoo",Noonu,Magoodhoo,,11,22
324,Isle Heron,Vinavi,Faafu,Nilandhoo,,8,16
325,Isle Royal Inn,Fasfiya,Gnaviyani,Fuvahmulah,,4,8
326,Ithaa Beach Maldives,Garden,Kaafu,Guraidhoo,,4,8
327,Ithaa Dhigurah,Shine,Alifu Dhaalu,Dhigurah,,6,12
328,Ithaa Hiyaa,"Happy Night, Valu Magu",Kaafu,Dhiffushi,,5,10
