#,Name,Address,Atoll,Island,District,Rooms,Beds
413,Maladiwa Beach & Spa,Abadhahfehi,Kaafu,Maafushi,,9,18
414,Malas Island View,Malas,Vaavu,Fulidhoo,,3,6
415,Maldives Seashine Guest House,"Madheena
Huravee Magu",Kaafu,Huraa,,3,6
416,Maldives Sunset Lodge and Village Guesthouse,Cute,Vaavu,Thinadhoo,,5,10
417,Manaam Residence,Manaam,Haa Alifu,Hoarafushi,,5,10
418,Mandhoo Guesthouse,Ethumaa,Alifu Dhaalu,Mandhoo,,4,8
419,Mango Stay,Mango,Kaafu,Himmafushi,,4,8
420,Mangrove Inn Hura,"Snow Drop, Hurriyaa Magu",Kaafu,Huraa,,6,12
421,Manta Dhangethi,"Dhigali & Rindhali, Thingaumagu",Alifu Dhaalu,Dhangethi,,8,16
422,Manta Reserve,"Thandiraiymaage, Orchid Magu",Baa,Maalhos,,5,10
423,Manta Stay,"Nalahiya, Boduthakurufaanu Magu",Alifu Alifu,Thoddoo,,4,8
424,Mantha View,Ifaashaa Manzil,Vaavu,Keyodhoo,,5,10
425,Marble,M. Marble,Kaafu,Male',,30,60
426,Mariana Inn,"1. Udhares Villa 
2. Feeni Villa 
3. Marvel",Kaafu,Gaafaru,,4,8
427,Marina Bay Retreat and Spa,Hirigaa,Kaafu,Guraidhoo,,11,22
428,Marina Boutique Fuvahmulah Maldives,Marina lodge,Gnaviyani,Fuvahmulah,,6,12
429,Marine Holiday,"Hulhumale' Lot No. 10800, Unigas Magu",Kaafu,Male',Hulhumale',12,24
430,Marukab Plaza,"1. H. Olive & 2. H. Rihi, Ameer Ahmed Magu",Kaafu,Male',Henveiru,40,80
431,Masaaree Boutique,Gulshan,Kaafu,Maafushi,,8,16
432,Masfalhi View Inn,Vilendoaf Garden,Vaavu,Felidhoo,,4,8
433,Mathige Retreat,Mathige,Faafu,Magoodhoo,,4,8
434,Mathiveri Beach View,"""New Heaven Nika Hingun""",Alifu Alifu,Mathiveri,,10,5
435,Mathiveri Thundi Inn,Ranfaru,Alifu Alifu,Mathiveri,,3,6
436,Medhufaru Guest House,Beruge. K. Guraidhoo,Kaafu,Guraidhoo,,6,12
437,Mehel Holiday Home,"Mehel, Orchid Magu",Alifu Dhaalu,Mahibadhoo,,13,26
438,Meri Maldives,Hulhumale' Lot No.10026,Kaafu,Male',Hulhumale',9,18
439,Merijaan Maldives,"Sweet Garden,  Finihiyaa Goalhi",Kaafu,Maafushi,,,
440,Met House,Mauzan,Kaafu,Thulusdhoo,,5,10
441,Mi Lugar Retreat and Spa,1. Akaysia 2. Basma 3. Moorithi 4. Beach House 5. Beach View  6. Jooin 7. Hathihaa,Haa Dhaalu,Nolhivaranfaru,,8,16
442,Midsummer Thulusdhoo,Rangali,Kaafu,Thulusdhoo,,4,8
443,Millenium Island Residence,Millennium,Gnaviyani,Fuvahmulah,,9,18
444,Mirian Sky,Aroma,Kaafu,Gaafaru,,8,16
445,MO Guesthouses,"Fan
Reeko Star",Laamu,Gan,,30,60
446,Molar Wave,Maahiyaa,Kaafu,Himmafushi,,6,12
447,Moodhu Guest House,Thuniya,Kaafu,Himmafushi,,4,8
448,Moodhu Surf House,Thuniya,Kaafu,Himmafushi,,4,8
449,Moodhumaa Inn,Never Land,Kaafu,Guraidhoo,,3,6
450,Moonshell Residence,"Hedheykuri, Hiyfaseyha Magu",Baa,Maalhos,,5,10
451,Muladdu Inn,Aaburuzeege,Seenu,Feydhoo,,4,8
452,Muli Inn Surf View,"""Fehige Muli, Meemu Atoll Male', Republic of Maldives""",Meemu,Muli,,5,10
453,Muraka Inn,Kandholhu,Kaafu,Gulhi,,8,16
454,My House Maldives,Velimala,Haa Alifu,Vashafaru,,6,12
455,Mystic Maldives,"Binaa
Husnuheenaa Magu",Alifu Alifu,Mathiveri,,5,10
456,Naalees Inn,Naalees,Raa,Hulhudhuffaaru,,3,6
457,Nala Island Village,Snow White,Kaafu,Maafushi,,10,20
458,Nala Veli Beach Villa,"Silver Grass, Orchid Magu",Alifu Alifu,Ukulhas,,17,34
459,Nala Veli Villa,Sunlight,Alifu Alifu,Ukulhas,,6,12
460,Narnia Maafushi,"Comrade Villa, Rahvashaa Higun",Kaafu,Maafushi,,4,8
461,Natural Surf Villa,Neel,Kaafu,Himmafushi,,4,8
462,Natural Vibe House,Sunshine,Kaafu,Himmafushi,,7,14
463,Nature Inn,Moscow,Kaafu,Himmafushi,,5,10
464,Naza Lodge,Vehi Midhilimagu,,,,4,8
465,Nazaki Residences,"Mukurimagu Rayyithunge Guest House
Gan, Laamu Atoll
Republic of Maldives",Laamu,Gan,,16,32
466,NB Grand,"Hulhumale' Lot no. 11085, Kelaa Magu",Kaafu,Male',Hulhumale',14,28
467,Nemo Inn,Keyogasdhoshuge,Alifu Dhaalu,Omadhoo,,5,10
468,New Breeze Thoddoo Inn,Ehfas,Alifu Alifu,Thoddoo,,7,14
469,New Moon Village,Ever Shine Jumhooree Magu,Alifu Alifu,Ukulhas,,5,10
470,New town Inn,Hulhumale' Lot. No. 10488,Kaafu,Male',Hulhumale',10,20
471,Nihaali Maldives,NihaaliOrchid Magu,Baa,Kadarikilu,,10,20
472,Nilandhe View,Vinavi,Faafu,Nilandhoo,,10,20
473,Ninos,Roashan Villas,Kaafu,Guraidhoo,,4,8
474,Nirili Villa,Nirili,Kaafu,Dhiffushi,,4,8
475,Niru Isle Maldives,Niru,Kaafu,Gaafaru,,8,4
476,Niu Inn and Spa,Hulhumale' Lot. No. 10585,Kaafu,Male',Hulhumale’,8,16
477,Noah Beach House,"Zinma, Masodi Hingun",Kaafu,Himmafushi,,18,36
478,Nolhi Escape,Beauty Villa,Haa Dhaalu,Nolhivaranfaru,,5,10
479,Noo Moo,Hulhumale' Lot. No. 10075,Kaafu,Male',Hulhumale',12,24
480,Noomuraka Inn,Noomuraka,Alifu Dhaalu,Omadhoo,,4,8
481,Noovilu Suites,"""Heylhi & Hudhuhiri""",Alifu Dhaalu,Mahibadhoo,,6,12
482,North Edge Inn,Amaazu,Shaviyani,Kanditheemu,,4,8
483,Ocean Beach Inn - Maldives,"Asseyri, Beach Road",Alifu Dhaalu,Hangnaameedhoo,,4,8
484,Ocean Cottage,Moon Star,Kaafu,Thulusdhoo,,5,10
485,Ocean Grand,"Crystal View, Hulhumale' Lot No. 10717, Kaani Magu",Kaafu,Male',Hulhumale',30,60
486,Ocean Lilly Inn,"Lily, Sosun Magu",Alifu Dhaalu,Hangnaameedhoo,,8,16
487,Ocean Pearl Maldives,"Irudheymaage, Mirihi Magu",Kaafu,Gulhi,,8,16
488,Ocean Retreat and Spa,Janavaree Hiyaa,Kaafu,Guraidhoo,,17,34
489,Ocean Vibes Guesthouse,Red Apple,Kaafu,Huraa,,7,14
490,Ocean Villa,Ocean Villa,Kaafu,Dhiffushi,,4,8
491,Ocean Village Maldives,Rose Leen,,,,3,6
492,Ocean Vista,West Pole,Kaafu,Maafushi,,5,10
493,Ocean Voice Beach,"1. New Hope, 2. Iyaathu, Abadhahfehi Magu",Haa Dhaalu,Nolhivaranfaru,,7,14
494,Ocean Waves Inn,Lucky Home,Kaafu,Gaafaru,,3,6
495,Ocean Way Guraidhoo,Finivilaage,Kaafu,Guraidhoo,,4,8
496,Oceana Boutique,Altivailis,Kaafu,Maafushi,,7,14
497,Oceanic Inn,Hudhuveli,,,,4,8
498,Oceano Beach Vashafaru,"Sandcastle, Salaahudheen Magu",Haa Alifu,Vashafaru,,5,10
499,Octave,Ma. Jambuma,Kaafu,Male',Machchagoalhi,14,28
500,Odi Kamadhoo,Udhares,Baa,Kamadhoo,,4,8
501,Off Day Inn,H. Hiriyaadhoo,Kaafu,Male',Henveiru,15,30
502,Old Town Inn,Arutha,Kaafu,Gaafaru,,4,8
503,Olhumathi Inn,"Faza
Orchid Magu",Alifu Alifu,Ukulhas,,3,6
504,Olive Goidhoo,Olive/lilac,Baa,Goidhoo,,12,24
505,Omadhoo Coral View Inn,Zeyvaru,Alifu Dhaalu,Omadhoo,,4,8
506,Omadhoo Inn,Fathaha,Alifu Dhaalu,Omadhoo,,4,8
507,One On Inn,West Coast,Seenu,Maradhoo,,9,18
508,One The Island,Vaaru,Lhaviyani,Naifaru,,8,16
509,Orchid Inn,Kandhu,Faafu,Nilandhoo,,3,6
510,Orchid Inn Guest House,Kandhu,Faafu,Nilandhoo,,5,10
511,Origami Inn,Thogbon Nooraanee Magu,Alifu Alifu,Himandhoo,,6,12
512,Orimas Retreat,"Haveylee, Gaamathi Magu, Thulusdhoo, Kaafu Atoll, Republic of Maldives",Kaafu,Thulusdhoo,,5,10
513,Ostrov,Palm Sade,Alifu Alifu,Ukulhas,,10,20
514,Paguro Beach Inn,Pink Palace,Alifu Alifu,Ukulhas,,19,38
515,Paguro Seaview,"Minivan Asseyri, Daisy Goalhi",Alifu Alifu,Bodufolhudhoo,,10,20
516,Paguro Villa,Fasfiya,Alifu Alifu,Ukulhas,,7,14
517,Palm Garden Thoddoo Inn,Pink Rose,Alifu Alifu,Thoddoo,,6,12
518,Palm Gate,Shanhai,Kaafu,Thulusdhoo,,5,10
519,Palm Lodge,Shanhai,Kaafu,Thulusdhoo,,5,10
520,Palm Residence,Hiyaa,Alifu Alifu,Rasdhoo,,6,12
521,Palm Rest,Dhehi Manzil,Kaafu,Kaashidhoo,,8,16
522,Palm Rest - Magoodhoo,Everlast,Faafu,Magoodhoo,,6,12
523,Palm Tree Maamigili,White Rose,Alifu Dhaalu,Maamigili,,4,8
524,Palm Villa,Malagura,Noonu,Velidhoo,,6,12
525,Palms Retreat,Sunshine Fulhadhoo Kilege Hingun,Baa,Fulhadhoo,,24,12
526,Palmscape,"Hulhumale' Lot no. 10106, Dhiggaa Magu",Kaafu,Male',Hulhumale',10,20
527,Pandanus Villa,Munich,Noonu,Velidhoo,,4,8
528,Paradise Lagoon,Huvandhu,Alifu Dhaalu,Dhangethi,,3,6
529,Paradise Retreat,Landscape Bahaaree Higun,Kaafu,Maafushi,,6,12
530,Paradisola Maldives,"Suhaanee, Orchid Magu",Noonu,Fodhdhoo,,5,10
531,Paralian Hulhumale',Hulhumale' Lot. No. 10359,Kaafu,Male',Hulhumale',18,36
532,Paris Inn,Paris,Alifu Dhaalu,Mahibadhoo,,8,16
533,Pearl Sands at Huraa,Huraa Uthuru Thundi,Kaafu,Huraa,,32,64
534,Pearlshine Retreat Maldives,Raazdhaan,Kaafu,Gulhi,,6,12
535,Pebbles Inn,Lagoon View,Seenu,Hithadhoo,,14,28
536,Pelican Beach Maafushi,Fathis,Kaafu,Maafushi,,6,12
537,Perla Dhangethi,Saan,Alifu Dhaalu,Dhangethi,,14,28
538,Pine Lodge Maldives,"Haasil, Hulhumale' Lot No. 11103, Kelaa Magu",Kaafu,Male',Hulhumale',12,24
539,Pinewood Hideaway,"Haama, Haama Goalhi",Seenu,Meedhoo,,3,6
540,Planktons Beach,Hulhumale’ Lot. No 10094,Kaafu,Male',Hulhumale’,8,16
541,Plumeria,Moony Night,Vaavu,Thinadhoo,,21,42
542,Plumeria Sea View,"Olhugiri, Feyrugasdhoshuge",Vaavu,Thinadhoo,,27,54
543,Point Inn,"Point Nayaa, Hulhumale’ Lot no. 10366, Hirundhu Magu",Kaafu,Male',Hulhumale’,15,30
544,Portia and Spa,Shilfas,Kaafu,Dhiffushi,,10,20
545,Premier Beach,"Tourism Zone, K. Gulhi (state owned) 
Block No. 13",Kaafu,Gulhi,,4,8
546,Q Inn,Hulhumale' Lot. No. 11026,Kaafu,Male',Hulhumale',12,24
547,Quicksand Rasdhoo,"Fiya & Murangamaage
Saharaamagu",Alifu Alifu,Rasdhoo,,6,12
548,Raabade Maldives,Viligileege,Gaafu Dhaalu,Hoadehdhoo,,5,10
549,Raakani Home,Beachville,Haa Dhaalu,Hanimaadhoo,,3,6
550,Raakani Villas & Spa,Jewel,Kaafu,Guraidhoo,,7,14
551,Raalhu Dhangethi,"Finihiyaage, Chaandhanee Magu",Alifu Dhaalu,Dhangethi,,3,6
552,Rai Nika Beach,Veenus Villa,Vaavu,Thinadhoo,,5,10
553,Ramzu Villa,"Night Rose,   Asseyri Magu",Alifu Alifu,Thoddoo,,14,28
554,Ranboli Stay,"Gold Coin, Meeraaz Magu",Baa,Dharavandhoo,,5,10
555,Rangali Eto's,Rangali,Kaafu,Guraidhoo,,3,6
556,Rani Beach,"Eash Villa, Hulhumale' 10135",Kaafu,Male',Hulhumale',6,12
557,Ras Reef,Niyama,Alifu Alifu,Rasdhoo,,5,10
558,Rasdhoo Coralville,Niyami,Alifu Alifu,Rasdhoo,,5,10
559,Rasdhoo Dive Lodge,"""Zazeena, Dhilkashvilla""",Alifu Alifu,Rasdhoo,,4,8
560,Rasdhoo Grand and Spa,Jabroalgasdhoshuge,Alifu Alifu,Rasdhoo,,12,24
561,Rasdhoo Island Inn,"Bonthi, Huraagandu Magu, Rasdhoo, Alifu Alifu Atoll, Republic of Maldives",Alifu Alifu,Rasdhoo,,4,8
562,Rasdhoo Island Inn Beach Front,Ahsidha,Alifu Alifu,Rasdhoo,,8,16
563,Rasdhoo Stay,Dawn Light / Hudhuasurumaage,Alifu Alifu,Rasdhoo,,12,24
564,Rasdhoo Vibes,"Lillymeed, Ghaazee Magu",Alifu Alifu,Rasdhoo,,6,12
565,Rasdhoo Wave Blue Guest Inn,Kudhimaage,Alifu Alifu,Rasdhoo,,4,8
566,Rasdu View Inn,Morning Happy,Alifu Alifu,Rasdhoo,,5,10
567,Rashu Hiyaa,"Zaifan, Lovely",Kaafu,Dhiffushi,,,
568,Rasvillage,Vinavi,Alifu Alifu,Rasdhoo,,7,14
569,Reef Edge,Reality,Kaafu,Thulusdhoo,,12,24
570,Reethi Villa,Rihiveli,Vaavu,Thinadhoo,,3,6
571,Rehendhi Villa,"Maathila, Miskiy Magu",Kaafu,Maafushi,,27,54
572,Rekidhiye Inn,"Mauman, Sunset Hingun",Seenu,Hithadhoo,,18,36
573,Relax Lodge,Asurumaage,Alifu Alifu,Thoddoo,,8,16
574,Relax Residence,,Alifu Alifu,Thoddoo,,4,8
575,Relax Villa,"New Line, Haveeree Hingun",Alifu Alifu,Thoddoo,,5,10
576,Remora by Magdalena,"Orchidview, Eid Miskih Magu",Faafu,Nilandhoo,,7,14
577,Remora Summer House,Noor,Faafu,Nilandhoo,,6,12
578,Reposo View,Musthafaa Manzil,Baa,Dharavandhoo,,4,8
579,Resten Inn,Neel Villa,Alifu Alifu,Thoddoo,,3,6
580,Resten View,Alivaage,Alifu Alifu,Thoddoo,,5,10
581,Reveries Diving Village,Monaan,Laamu,Gan,,23,46
582,Rihiveli Inn,"Rihiveli
Moonlight Magu",Thaa,Kinbidhoo,,4,8
583,Rij Hulhumale,Hulhumale' Lot No. 10056 no:06  Nirolhu Magu,Kaafu,Male',Hulhumale',10,20
584,Rindali,"Malaaz, Hiyfaseyha Magu, Maaenboodhoo, Dhaalu Atoll, Republic of Maldives",,,,3,6
585,Rindhali Beach,Industrial Plot,Kaafu,Kaashidhoo,,7,14
586,Rip Tide Vacation Inn,1. Dhonveli 2. Veli,Kaafu,Guraidhoo,,7,14
587,Ripple Beach Inn,Hulhumale' Lot No. 10117,Kaafu,Male',Hulhumale',10,20
588,Rising Sun Beach View,Askani Village-1,Vaavu,Thinadhoo,,4,8
589,"Riveli Retreat, Mathiveri, Maldives",Blue Reef,Alifu Alifu,Mathiveri,,6,12
590,Rivethi Beach Boutique,Hulhumale’ Lot No. 11070,Kaafu,Male',Hulhumale’,15,30
591,Riyaludhathuru,"Meezaan, Boduthakurufaanu Magu",Alifu Alifu,Thoddoo,,3,6
592,RNB Boutique,Hulhumale' Lot. No. 10668,Kaafu,Male',Hulhumale',10,20
593,Rosemary Boutique,"Yaaz
06, Ziyaarai Magu",Kaafu,Maafushi,,22,44
594,Rosy Villa,"Rosy Villa
137, Neeloafaru Magu",Kaafu,Guraidhoo,,12,24
595,Royal Beach Dhigurah,Noomaraage,Alifu Dhaalu,Dhigurah,,3,6
596,Royal Reef Stay,Gaskara,Alifu Alifu,Mathiveri,,5,10
597,Royal Stay Inn,Blue Star,Alifu Alifu,Thoddoo,,5,10
598,RV,"Teal Villa & Fares, Haveeree Higun",Alifu Alifu,Thoddoo,,6,12
599,Sabba Beach Suite,Kasthoorige,Noonu,Fodhdhoo,,12,24
600,Sabba Beach Villas and Spa,"Bahaaruge, Boduthakurufaanu Magu",Noonu,Fodhdhoo,,12,24
601,Sabba Summer Suite,Minaa,Noonu,Fodhdhoo,,5,10
602,Saima Inn,"Saimaage
Venus Magu",Alifu Alifu,Maalhos,,4,8
603,Sala Boutique Residence,H. Buruneege,Kaafu,Male',Henveiru,6,12
604,Salt Beach,Faalandhoshuge,Kaafu,Maafushi,,14,28
605,Salt Villa Ukulhas,Sunrise,Kaafu,Ukulhas,,6,12
606,Sama Garden,Miskidhdhoshuge,Baa,Fehendhoo,,8,16
607,Samann Grand,H. Minaan,Kaafu,Male',Henveiru,26,52
608,Samann Host,Hulhumale' Lot. No. 10802,Kaafu,Male',Hulhumale',12,24
609,Sameydhaan Inn Fuvahmulah,Sameydhaan / Hoadhandu,Gnaviyani,Fuvahmulah,,6,12
610,Samura Maldives,Golden Leaf & Ocean Beach,Kaafu,Thulusdhoo,,5,10
611,Samura Panorama,"Binaa, Ameer Ameen Magu",Kaafu,Thulusdhoo,,16,32
612,Sancia Lodge,Manzil,Vaavu,Fulidhoo,,3,6
613,Sand Inn Residence,Dheyliyaa Vilaa,Baa,Kamadhoo,,8,16
614,Sands Exotic,"Fandunuvaage, Rehendhi Hingun",Kaafu,Thulusdhoo,,12,24
615,Sands Grand,"Shady Corner, Mercury Road",Alifu Dhaalu,Dhigurah,,12,24
616,Sands Inn Mathiveri,"Milano
Chandhanee Magu",Alifu Alifu,Mathiveri,,5,10
617,Sandy Heaven Maldives,Yusra Manzil,Kaafu,Gulhi,,7,14
618,Santa Rosa,Golden Night,Kaafu,Thulusdhoo,,8,16
619,Sava Home,Finihiyaage,Kaafu,Huraa,,5,10
620,Scuba Inn,Kaamineege,Alifu Dhaalu,Omadhoo,,6,12
621,Scuba Residence,"Maadhadu, New Dawn Fenfuvahmagu",Gnaviyani,Fuvahmulah,,11,22
622,Sea Breeze View,Paalmaa,Kaafu,Huraa,,6,12
623,Sea Side Villa,Sheelin,Kaafu,Dhiffushi,,7,14
624,Sea Star Diving Thulusdhoo,,Kaafu,Thulusdhoo,,,
625,Sea View Villa,Olhukuri,Alifu Alifu,Ukulhas,,5,10
626,Seagrove Inn,Shaandhaar,Baa,Kamadhoo,,4,8
627,Sealavie Inn,"Green House, Jumhooree Magu",Kaafu,Ukulhas,,5,10
628,Seasalter Maldives Guest House,Hulhumale' Lot no. 10041,Kaafu,Male',Hulhumale',12,24
629,Seashine Guesthouse,"Sea Shine, Chaandhanee Magu",Noonu,Manadhoo,,5,10
630,Season Holidays,Hulhumale' Lot. No. 10349,Kaafu,Male',Hulhumale',12,24
631,Season Paradise,Area,Kaafu,Thulusdhoo,,48,96
632,Seasunbeach,Regards,Lhaviyani,Naifaru,,10,20
633,Seena Inn,East Corner,Vaavu,Fulidhoo,,5,10
634,Seginy Seaview,Nalakuri,Kaafu,Guraidhoo,,5,10
635,Select Village,"Life, Kasthoori Magu",Kaafu,Maafushi,,14,28
636,Serene Sky Guest House Block B,Anbumaage,Alifu Alifu,Thoddoo,,8,16
637,Sevinex Inn,Shabnamge,Alifu Alifu,Feridhoo,,5,10
638,Shades of Blue,Dhiyares,Haa Alifu,Kelaa,,6,12
639,Shadow Palm,Shady Beach,Kaafu,Maafushi,Ziyaaraiy Magu,4,8
640,Shallow Lagoon Rasdhoo,"Fiyaathoshige, Asrafee Hingun",Alifu Alifu,Rasdhoo,,12,24
641,Shallow Lagoon Sunset,Moongrass,Alifu Alifu,Rasdhoo,,5,10
642,Shamar Guest House,Lanka Palace,Alifu Dhaalu,Maamigili,,6,12
643,Shark Lounge,"Miskihmagu, Jaadhooge",Gnaviyani,Fuvahmulah,,4,8
644,Shaviyani Retreat,Finihiyaa,Alifu Alifu,Ukulhas,,3,6
645,Shifa Lodge,Shifa,Alifu Alifu,Feridhoo,,6,12
646,Shoreline Grand,Arum,Alifu Alifu,Thoddoo,,6,12
647,Siesta Beach,Kinaaraa,Kaafu,Maafushi,,4,8
648,Sis Tourist Villa,"Minivan Ufaa, Funagas Magu",Alifu Alifu,Mathiveri,,10,20
649,Six in One,"H. Kamburu Villa, Hiyfaseyha goalhi",Kaafu,Male',Henveiru,18,36
650,Skai Lodge,H. Mandhu Edhuruge,Kaafu,Male',Henveiru,13,26
651,Sky Beach Dhiffushi,"Maabadhi, Belle",Kaafu,Dhiffushi,,28,56
652,Sky Inn Thoddoo,Happy Rest,Alifu Alifu,Thoddoo,,4,8
653,Sky View,Vilaasaage,Alifu Dhaalu,Dhangethi,,4,8
654,Small Island Lodge,Gulfaamuge,Gaafu Dhaalu,Faresmaathodaa,,7,14
655,Sole Maldive,"Venus,  Salahuddin Magu",Haa Alifu,Vashafaru,,3,6
656,Solunar Maldives,Havaa,Kaafu,Maafushi,,15,30
657,Sorenzo Maldives,Dhoonidhoo,Alifu Dhaalu,Omadhoo,,5,10
658,South Ari Inn - Garden,Happy Night Kaneeru Magu,Alifu Dhaalu,Mandhoo,,3,6
659,South Ari Inn – White,"""Finihandhuvaru Kaneeru Magu""",Alifu Dhaalu,Mandhoo,,3,6
660,Splendour Grand,"Victory House, Roashanee Magu",Alifu Alifu,Maalhos,,4,8
661,Star Shell,Hulhumale' Lot. No. 11106,Kaafu,Male',Hulhumale',15,30
662,Starry Night at Ukulhas,Nooraaneemaa,Alifu Alifu,Ukulhas,,7,14
663,Stay Mikado,"Orchidmaage, Thaa, Thimarafushi",,,,12,24
664,Stay Salty,Kudhimaage,Kaafu,Gaafaru,,8,16
665,Stay Thimarafushi,Orchidmaage,,,,12,24
666,Stingray Beach Inn,"	1. Fiyaadhaage 2. Fiyaadhaage Uthurubai,  Ziyaarai Magu",Kaafu,Maafushi,,10,20
667,String Wave Maldives,Hudhufas,Kaafu,Gulhi,,5,10
668,Suffix Retreat,"Miskihmagu, Mazaa Violet Magu",Gnaviyani,Fuvahmulah,,7,14
669,Summer Beach,"H. Campus Beach, Boduthakurufaanu Magu",Kaafu,Male',Henveiru,28,56
670,Summer Home,Vaadhee,Haa Alifu,Kelaa,,9,18
671,Summer Inn Thoddoo,salaam,Alifu Alifu,Thoddoo,,4,8
672,Summer Sky Thoddoo,Naares,Alifu Alifu,Thoddoo,,16,8
673,Summer Vibes Beach Front,Ethuma,Alifu Alifu,Rasdhoo,,6,12
674,Summer Villa Guest House,Spring Villa,Kaafu,Maafushi,,15,30
675,Sun Break View,Everlast,Faafu,Magoodhoo,,6,12
676,Sun Dive Lodge Maldives,Velissaruge,Alifu Dhaalu,Mahibadhoo,,3,6
677,Sun Shade Inn,"Malas, Sunset",Gaafu Dhaalu,Hoadehdhoo,,9,18
678,Sun Shine View,Vilares,Kaafu,Maafushi,,4,8
679,Sun View Residence,"Diamond Hiyaa, Shaheedh Ibrahim Hingun",Kaafu,Kaashidhoo,,5,10
680,Suncoral Maldives,"Lavender, Mohamed Ameen Magu",Gaafu Alifu,Kondey,,4,8
681,Sunny Canopy,"Hulhumale' Phase 2 ,Lot 20056, Nirolhu Magu",Kaafu,Male',Hulhumale',8,16
682,Sunny Day Inn Maldives,"Ranthari, Chaandhanee Magu",Noonu,Manadhoo,,3,6
683,Sunny Lodge,Aman,Alifu Dhaalu,Hangnaameedhoo,,3,6
684,Sunny Side Maamendhoo,Day Light,Gaafu Alifu,Maamendhoo,,3,6
685,Sunny Suites Inn,"Veli Muh, Hulhumale' Plot 10107",Kaafu,Male',Hulhumale',7,14
686,Sunrise Beach,1. Aalge 2. Iramaage,Kaafu,Maafushi,,30,60
687,Sunrise by White Sand Dhigurah,Silver Spring,Alifu Dhaalu,Dhigurah,,13,26
688,Sunrise Inn,Nookurikeela & Nasrussabaa,Alifu Alifu,Thoddoo,,8,16
689,Sunset Beach View Dhangethi,"Nees,  Zamaanee Magu",Alifu Dhaalu,Dhangethi,,4,8
690,Sunset Holidays,Dhunthari,Kaafu,Huraa,,5,10
691,Sunset View Inn,"Feras, Sosun Magu",Alifu Dhaalu,Hangnaameedhoo,,5,10
692,Sunsetvilla,"Sunset, Sinaaee Sarahahdhu",Laamu,Gan,,4,8
693,Sunshine Villa,Amaazu,Kaafu,Huraa,,6,12
694,Surf Deck,Reef View,Kaafu,Thulusdhoo,,5,10
695,Surf House by Konalle,"Alivaage, Ameeru Ahmed Magu",Gaafu Dhaalu,Gadhdhoo,,7,14
696,Surf Retreat,Dhanbumaage,Alifu Alifu,Bodufolhudhoo,,4,8
697,Surf Trip Maldives,"Liusham, Ranveli Magu",Kaafu,Thulusdhoo,,5,10
698,Surf Yoga Camp,"Ithaa, Wathanee Hingun",Kaafu,Thulusdhoo,,9,18
699,Surf Yoga Maldives,Unique,Kaafu,Thulusdhoo,,7,14
700,Surf Yoga Retreat,Lily Night,Kaafu,Himmafushi,,4,8
701,Suvaasa Inn,Suvaasaa & Athireege,Alifu Dhaalu,Kunburudhoo,,6,12
702,Tavern Lodge,"Raahee, Iruvai Magu",Kaafu,Maafushi,,12,24
703,Thari Fushi,Tunic,Vaavu,Thinadhoo,,6,12
704,The Aquzz,Hulhumale' Lot. No. 10051,Kaafu,Male',Hulhumale',14,28
705,The Avenue and Spa,Hulhumale' Lot. No. 11038,Kaafu,Male',Hulhumale',15,30
706,The Beehive,M. Baheej Palace,Kaafu,Male',Maafannu,33,66
707,The Bilimbi,"Thoonis, Mas'aruvaa Magu",Kaafu,Huraa,,6,12
708,The Castaway Retreat,"Kuri, Husnuheena Magu",Alifu Alifu,Feridhoo,,4,8
709,The Corbin Guest House,"Fathis, Bodu Magu",Baa,Goidhoo,,3,6
710,The Elements Addu,"Vaaly Villa
Hithadhoo, Seenu Atoll
Republic of Maldives",Seenu,Hithadhoo,,5,10
711,The G Ten Holiday Inn,"Villa Rose, Hulhumale' Lot No: 10164, Halaveli Magu",Kaafu,Male',Hulhumale',8,16
712,The Grand View,"H. Melroze, Dheyliyaa Hingun",Kaafu,Male',Henveiru,21,42
713,The Hive Beach,Hulhumale' Lot No. 10358,Kaafu,Male',Hulhumale',36,18
714,The Mureed,Finiroalhi  Sosun Magu,Vaavu,Fulidhoo,,11,22
715,The Orca,"Hulhumale', Amber Terrace, R-16-01",Kaafu,Male',Hulhumale',3,6
716,The Park House,G.Famaas Villa,Kaafu,Male',Galolhu,20,40
717,The Pearl Seaview,Hiroshima,Vaavu,Fulidhoo,,7,14
718,The Ranthari,Ranthari Villa,Alifu Alifu,Ukulhas,,21,42
719,The Sand Gate Inn,Hulhumale' Lot No. 10820,Kaafu,Male',Hulhumale',12,24
720,The Sunrise Huraa,"Araairu, Kulheetherey Magu",Kaafu,Huraa,,4,8
721,The Sunset Villa,"Beachvilla, Saleemee Hingun",Kaafu,Dhiffushi,,9,18
722,The Varu Inn,Dhivaru,Lhaviyani,Hinnavaru,,6,12
723,The White Harp Inn,Hulhumale' Lot. No. 11075,Kaafu,Male',,15,30
724,Thigo Dreams,Thigo,Gaafu Alifu,Nilandhoo,,3,6
725,Thila Farm View,Golden Moon,Alifu Alifu,Thoddoo,,9,18
726,Thoddoo Beach Holiday Inn,"Cool Breeze
Huravee Magu",Alifu Alifu,Thoddoo,,4,8
727,Thoddoo Beach View,Hasthee,Alifu Alifu,Thoddoo,,4,8
728,Thoddoo Dive Villa,"Noovina, Kilegefaanu Magu",Alifu Alifu,Thoddoo,,12,24
729,Thoddoo Garden Inn,"Bageechaage, Hiyalee Magu",Alifu Alifu,Thoddoo,,4,8
